Date,date,i
2018-01-30,2018-01-30,7.75
2018-01-31,2018-01-31,7.75
2018-02-01,2018-02-01,7.75
2018-02-02,2018-02-02,7.75
2018-02-03,2018-02-03,7.75
2018-02-04,2018-02-04,7.75
2018-02-05,2018-02-05,7.75
2018-02-06,2018-02-06,7.75
2018-02-07,2018-02-07,7.75
2018-02-08,2018-02-08,7.75
2018-02-09,2018-02-09,7.75
2018-02-10,2018-02-10,7.75
2018-02-11,2018-02-11,7.75
2018-02-12,2018-02-12,7.5
2018-02-13,2018-02-13,7.5
2018-02-14,2018-02-14,7.5
2018-02-15,2018-02-15,7.5
2018-02-16,2018-02-16,7.5
2018-02-17,2018-02-17,7.5
2018-02-18,2018-02-18,7.5
2018-02-19,2018-02-19,7.5
2018-02-20,2018-02-20,7.5
2018-02-21,2018-02-21,7.5
2018-02-22,2018-02-22,7.5
2018-02-23,2018-02-23,7.5
2018-02-24,2018-02-24,7.5
2018-02-25,2018-02-25,7.5
2018-02-26,2018-02-26,7.5
2018-02-27,2018-02-27,7.5
2018-02-28,2018-02-28,7.5
2018-03-01,2018-03-01,7.5
2018-03-02,2018-03-02,7.5
2018-03-03,2018-03-03,7.5
2018-03-04,2018-03-04,7.5
2018-03-05,2018-03-05,7.5
2018-03-06,2018-03-06,7.5
2018-03-07,2018-03-07,7.5
2018-03-08,2018-03-08,7.5
2018-03-09,2018-03-09,7.5
2018-03-10,2018-03-10,7.5
2018-03-11,2018-03-11,7.5
2018-03-12,2018-03-12,7.5
2018-03-13,2018-03-13,7.5
2018-03-14,2018-03-14,7.5
2018-03-15,2018-03-15,7.5
2018-03-16,2018-03-16,7.5
2018-03-17,2018-03-17,7.5
2018-03-18,2018-03-18,7.5
2018-03-19,2018-03-19,7.5
2018-03-20,2018-03-20,7.5
2018-03-21,2018-03-21,7.5
2018-03-22,2018-03-22,7.5
2018-03-23,2018-03-23,7.5
2018-03-24,2018-03-24,7.5
2018-03-25,2018-03-25,7.5
2018-03-26,2018-03-26,7.25
2018-03-27,2018-03-27,7.25
2018-03-28,2018-03-28,7.25
2018-03-29,2018-03-29,7.25
2018-03-30,2018-03-30,7.25
2018-03-31,2018-03-31,7.25
2018-04-01,2018-04-01,7.25
2018-04-02,2018-04-02,7.25
2018-04-03,2018-04-03,7.25
2018-04-04,2018-04-04,7.25
2018-04-05,2018-04-05,7.25
2018-04-06,2018-04-06,7.25
2018-04-07,2018-04-07,7.25
2018-04-08,2018-04-08,7.25
2018-04-09,2018-04-09,7.25
2018-04-10,2018-04-10,7.25
2018-04-11,2018-04-11,7.25
2018-04-12,2018-04-12,7.25
2018-04-13,2018-04-13,7.25
2018-04-14,2018-04-14,7.25
2018-04-15,2018-04-15,7.25
2018-04-16,2018-04-16,7.25
2018-04-17,2018-04-17,7.25
2018-04-18,2018-04-18,7.25
2018-04-19,2018-04-19,7.25
2018-04-20,2018-04-20,7.25
2018-04-21,2018-04-21,7.25
2018-04-22,2018-04-22,7.25
2018-04-23,2018-04-23,7.25
2018-04-24,2018-04-24,7.25
2018-04-25,2018-04-25,7.25
2018-04-26,2018-04-26,7.25
2018-04-27,2018-04-27,7.25
2018-04-28,2018-04-28,7.25
2018-04-29,2018-04-29,7.25
2018-04-30,2018-04-30,7.25
2018-05-01,2018-05-01,7.25
2018-05-02,2018-05-02,7.25
2018-05-03,2018-05-03,7.25
2018-05-04,2018-05-04,7.25
2018-05-05,2018-05-05,7.25
2018-05-06,2018-05-06,7.25
2018-05-07,2018-05-07,7.25
2018-05-08,2018-05-08,7.25
2018-05-09,2018-05-09,7.25
2018-05-10,2018-05-10,7.25
2018-05-11,2018-05-11,7.25
2018-05-12,2018-05-12,7.25
2018-05-13,2018-05-13,7.25
2018-05-14,2018-05-14,7.25
2018-05-15,2018-05-15,7.25
2018-05-16,2018-05-16,7.25
2018-05-17,2018-05-17,7.25
2018-05-18,2018-05-18,7.25
2018-05-19,2018-05-19,7.25
