<TICKER>;<PER>;<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<VOL>
USDCB;D;20180222;0;56.6537;56.6537;56.6537;56.6537;0
USDCB;D;20180223;0;56.7608;56.7608;56.7608;56.7608;0
USDCB;D;20180227;0;55.9208;55.9208;55.9208;55.9208;0
USDCB;D;20180228;0;55.6717;55.6717;55.6717;55.6717;0
USDCB;D;20180301;0;56.3742;56.3742;56.3742;56.3742;0
USDCB;D;20180302;0;56.4334;56.4334;56.4334;56.4334;0
USDCB;D;20180303;0;56.6616;56.6616;56.6616;56.6616;0
USDCB;D;20180306;0;57.1;57.1;57.1;57.1;0
USDCB;D;20180307;0;56.5041;56.5041;56.5041;56.5041;0
USDCB;D;20180308;0;56.8011;56.8011;56.8011;56.8011;0
USDCB;D;20180313;0;56.6122;56.6122;56.6122;56.6122;0
USDCB;D;20180314;0;56.9359;56.9359;56.9359;56.9359;0
USDCB;D;20180315;0;56.9372;56.9372;56.9372;56.9372;0
USDCB;D;20180316;0;57.0188;57.0188;57.0188;57.0188;0
USDCB;D;20180317;0;57.4942;57.4942;57.4942;57.4942;0
USDCB;D;20180320;0;57.5521;57.5521;57.5521;57.5521;0
USDCB;D;20180321;0;57.7033;57.7033;57.7033;57.7033;0
USDCB;D;20180322;0;57.4954;57.4954;57.4954;57.4954;0
USDCB;D;20180323;0;56.8391;56.8391;56.8391;56.8391;0
USDCB;D;20180324;0;57.1072;57.1072;57.1072;57.1072;0
USDCB;D;20180327;0;57.0039;57.0039;57.0039;57.0039;0
USDCB;D;20180328;0;57.1747;57.1747;57.1747;57.1747;0
USDCB;D;20180329;0;57.5598;57.5598;57.5598;57.5598;0
USDCB;D;20180330;0;57.7626;57.7626;57.7626;57.7626;0
USDCB;D;20180331;0;57.2649;57.2649;57.2649;57.2649;0
USDCB;D;20180403;0;57.285;57.285;57.285;57.285;0
USDCB;D;20180404;0;57.5375;57.5375;57.5375;57.5375;0
USDCB;D;20180405;0;57.7646;57.7646;57.7646;57.7646;0
USDCB;D;20180406;0;57.5796;57.5796;57.5796;57.5796;0
USDCB;D;20180407;0;57.8332;57.8332;57.8332;57.8332;0
USDCB;D;20180410;0;58.5714;58.5714;58.5714;58.5714;0
USDCB;D;20180411;0;62.3699;62.3699;62.3699;62.3699;0
USDCB;D;20180412;0;64.0626;64.0626;64.0626;64.0626;0
USDCB;D;20180413;0;62.0659;62.0659;62.0659;62.0659;0
USDCB;D;20180414;0;61.4311;61.4311;61.4311;61.4311;0
USDCB;D;20180417;0;62.2794;62.2794;62.2794;62.2794;0
USDCB;D;20180418;0;61.1454;61.1454;61.1454;61.1454;0
USDCB;D;20180419;0;61.5539;61.5539;61.5539;61.5539;0
USDCB;D;20180420;0;60.8583;60.8583;60.8583;60.8583;0
USDCB;D;20180421;0;61.3222;61.3222;61.3222;61.3222;0
USDCB;D;20180424;0;61.7655;61.7655;61.7655;61.7655;0
USDCB;D;20180425;0;61.6644;61.6644;61.6644;61.6644;0
USDCB;D;20180426;0;61.7494;61.7494;61.7494;61.7494;0
USDCB;D;20180427;0;62.6027;62.6027;62.6027;62.6027;0
USDCB;D;20180428;0;62.726;62.726;62.726;62.726;0
USDCB;D;20180429;0;61.9997;61.9997;61.9997;61.9997;0
USDCB;D;20180504;0;63.486;63.486;63.486;63.486;0
USDCB;D;20180505;0;63.2012;63.2012;63.2012;63.2012;0
USDCB;D;20180508;0;62.7148;62.7148;62.7148;62.7148;0
USDCB;D;20180509;0;63.0066;63.0066;63.0066;63.0066;0
USDCB;D;20180511;0;62.5229;62.5229;62.5229;62.5229;0
USDCB;D;20180512;0;61.7354;61.7354;61.7354;61.7354;0
USDCB;D;20180515;0;61.7684;61.7684;61.7684;61.7684;0
USDCB;D;20180516;0;61.9164;61.9164;61.9164;61.9164;0
USDCB;D;20180517;0;62.3033;62.3033;62.3033;62.3033;0
USDCB;D;20180518;0;61.8215;61.8215;61.8215;61.8215;0
USDCB;D;20180519;0;61.9408;61.9408;61.9408;61.9408;0
USDCB;D;20180522;0;62.5327;62.5327;62.5327;62.5327;0
USDCB;D;20180523;0;61.261;61.261;61.261;61.261;0
USDCB;D;20180524;0;61.5945;61.5945;61.5945;61.5945;0
USDCB;D;20180525;0;61.409;61.409;61.409;61.409;0
USDCB;D;20180526;0;61.6659;61.6659;61.6659;61.6659;0
USDCB;D;20180529;0;62.271;62.271;62.271;62.271;0
USDCB;D;20180530;0;62.642;62.642;62.642;62.642;0
USDCB;D;20180531;0;62.5937;62.5937;62.5937;62.5937;0
USDCB;D;20180601;0;62.0188;62.0188;62.0188;62.0188;0
USDCB;D;20180602;0;62.2056;62.2056;62.2056;62.2056;0
USDCB;D;20180605;0;61.929;61.929;61.929;61.929;0
USDCB;D;20180606;0;61.9822;61.9822;61.9822;61.9822;0
USDCB;D;20180607;0;62.0064;62.0064;62.0064;62.0064;0
USDCB;D;20180608;0;61.8125;61.8125;61.8125;61.8125;0
USDCB;D;20180609;0;62.668;62.668;62.668;62.668;0
USDCB;D;20180610;0;62.3431;62.3431;62.3431;62.3431;0
USDCB;D;20180614;0;63.1164;63.1164;63.1164;63.1164;0
USDCB;D;20180615;0;62.2511;62.2511;62.2511;62.2511;0
USDCB;D;20180616;0;62.6851;62.6851;62.6851;62.6851;0
USDCB;D;20180619;0;63.4838;63.4838;63.4838;63.4838;0
USDCB;D;20180620;0;64.0683;64.0683;64.0683;64.0683;0
USDCB;D;20180621;0;63.6175;63.6175;63.6175;63.6175;0
USDCB;D;20180622;0;63.7873;63.7873;63.7873;63.7873;0
USDCB;D;20180623;0;63.2396;63.2396;63.2396;63.2396;0
USDCB;D;20180626;0;62.9497;62.9497;62.9497;62.9497;0
USDCB;D;20180627;0;62.7908;62.7908;62.7908;62.7908;0
USDCB;D;20180628;0;63.1359;63.1359;63.1359;63.1359;0
USDCB;D;20180629;0;63.291;63.291;63.291;63.291;0
USDCB;D;20180630;0;62.7565;62.7565;62.7565;62.7565;0
USDCB;D;20180703;0;63.1394;63.1394;63.1394;63.1394;0
USDCB;D;20180704;0;63.2194;63.2194;63.2194;63.2194;0
USDCB;D;20180705;0;63.2267;63.2267;63.2267;63.2267;0
USDCB;D;20180706;0;63.2604;63.2604;63.2604;63.2604;0
USDCB;D;20180707;0;63.1216;63.1216;63.1216;63.1216;0
USDCB;D;20180710;0;62.8338;62.8338;62.8338;62.8338;0
USDCB;D;20180711;0;62.4442;62.4442;62.4442;62.4442;0
USDCB;D;20180712;0;62.098;62.098;62.098;62.098;0
USDCB;D;20180713;0;62.2062;62.2062;62.2062;62.2062;0
USDCB;D;20180714;0;62.2934;62.2934;62.2934;62.2934;0
USDCB;D;20180717;0;62.2556;62.2556;62.2556;62.2556;0
USDCB;D;20180718;0;62.4352;62.4352;62.4352;62.4352;0
USDCB;D;20180719;0;62.9006;62.9006;62.9006;62.9006;0
USDCB;D;20180720;0;63.2746;63.2746;63.2746;63.2746;0
USDCB;D;20180721;0;63.4888;63.4888;63.4888;63.4888;0
USDCB;D;20180724;0;63.1957;63.1957;63.1957;63.1957;0
