<TICKER>;<PER>;<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<VOL>
USDCB;D;20150708;000000;57.2192000;57.2192000;57.2192000;57.2192000;0
USDCB;D;20150709;000000;57.2174000;57.2174000;57.2174000;57.2174000;0
USDCB;D;20150710;000000;56.9803000;56.9803000;56.9803000;56.9803000;0
USDCB;D;20150711;000000;56.6685000;56.6685000;56.6685000;56.6685000;0
USDCB;D;20150714;000000;56.6079000;56.6079000;56.6079000;56.6079000;0
USDCB;D;20150715;000000;56.9774000;56.9774000;56.9774000;56.9774000;0
USDCB;D;20150716;000000;56.6642000;56.6642000;56.6642000;56.6642000;0
USDCB;D;20150717;000000;56.9504000;56.9504000;56.9504000;56.9504000;0
USDCB;D;20150718;000000;56.8423000;56.8423000;56.8423000;56.8423000;0
USDCB;D;20150721;000000;56.8336000;56.8336000;56.8336000;56.8336000;0
USDCB;D;20150722;000000;57.0025000;57.0025000;57.0025000;57.0025000;0
USDCB;D;20150723;000000;57.0232000;57.0232000;57.0232000;57.0232000;0
USDCB;D;20150724;000000;57.3578000;57.3578000;57.3578000;57.3578000;0
USDCB;D;20150725;000000;58.0374000;58.0374000;58.0374000;58.0374000;0
USDCB;D;20150728;000000;58.7816000;58.7816000;58.7816000;58.7816000;0
USDCB;D;20150729;000000;60.2231000;60.2231000;60.2231000;60.2231000;0
USDCB;D;20150730;000000;59.7665000;59.7665000;59.7665000;59.7665000;0
USDCB;D;20150731;000000;58.9906000;58.9906000;58.9906000;58.9906000;0
USDCB;D;20150801;000000;60.3458000;60.3458000;60.3458000;60.3458000;0
USDCB;D;20150804;000000;62.4677000;62.4677000;62.4677000;62.4677000;0
USDCB;D;20150805;000000;62.9182000;62.9182000;62.9182000;62.9182000;0
USDCB;D;20150806;000000;62.7184000;62.7184000;62.7184000;62.7184000;0
USDCB;D;20150807;000000;63.8644000;63.8644000;63.8644000;63.8644000;0
USDCB;D;20150808;000000;63.8399000;63.8399000;63.8399000;63.8399000;0
USDCB;D;20150811;000000;64.4977000;64.4977000;64.4977000;64.4977000;0
USDCB;D;20150812;000000;63.2098000;63.2098000;63.2098000;63.2098000;0
USDCB;D;20150813;000000;65.0169000;65.0169000;65.0169000;65.0169000;0
USDCB;D;20150814;000000;63.9988000;63.9988000;63.9988000;63.9988000;0
USDCB;D;20150815;000000;64.9363000;64.9363000;64.9363000;64.9363000;0
USDCB;D;20150818;000000;65.5034000;65.5034000;65.5034000;65.5034000;0
USDCB;D;20150819;000000;65.8289000;65.8289000;65.8289000;65.8289000;0
USDCB;D;20150820;000000;65.7222000;65.7222000;65.7222000;65.7222000;0
USDCB;D;20150821;000000;66.9608000;66.9608000;66.9608000;66.9608000;0
USDCB;D;20150822;000000;68.1216000;68.1216000;68.1216000;68.1216000;0
USDCB;D;20150825;000000;70.7465000;70.7465000;70.7465000;70.7465000;0
USDCB;D;20150826;000000;69.9461000;69.9461000;69.9461000;69.9461000;0
USDCB;D;20150827;000000;69.3142000;69.3142000;69.3142000;69.3142000;0
USDCB;D;20150828;000000;67.4473000;67.4473000;67.4473000;67.4473000;0
USDCB;D;20150829;000000;66.4779000;66.4779000;66.4779000;66.4779000;0
USDCB;D;20150901;000000;66.7152000;66.7152000;66.7152000;66.7152000;0
USDCB;D;20150902;000000;65.3495000;65.3495000;65.3495000;65.3495000;0
USDCB;D;20150903;000000;66.6756000;66.6756000;66.6756000;66.6756000;0
USDCB;D;20150904;000000;67.0102000;67.0102000;67.0102000;67.0102000;0
USDCB;D;20150905;000000;67.6850000;67.6850000;67.6850000;67.6850000;0
USDCB;D;20150908;000000;68.4864000;68.4864000;68.4864000;68.4864000;0
USDCB;D;20150909;000000;68.7932000;68.7932000;68.7932000;68.7932000;0
USDCB;D;20150910;000000;67.6219000;67.6219000;67.6219000;67.6219000;0
USDCB;D;20150911;000000;68.4961000;68.4961000;68.4961000;68.4961000;0
USDCB;D;20150912;000000;68.0093000;68.0093000;68.0093000;68.0093000;0
USDCB;D;20150915;000000;67.9571000;67.9571000;67.9571000;67.9571000;0
USDCB;D;20150916;000000;67.1574000;67.1574000;67.1574000;67.1574000;0
USDCB;D;20150917;000000;65.9273000;65.9273000;65.9273000;65.9273000;0
USDCB;D;20150918;000000;65.3623000;65.3623000;65.3623000;65.3623000;0
USDCB;D;20150919;000000;65.6445000;65.6445000;65.6445000;65.6445000;0
USDCB;D;20150922;000000;66.1455000;66.1455000;66.1455000;66.1455000;0
USDCB;D;20150923;000000;66.1747000;66.1747000;66.1747000;66.1747000;0
USDCB;D;20150924;000000;66.0410000;66.0410000;66.0410000;66.0410000;0
USDCB;D;20150925;000000;66.5151000;66.5151000;66.5151000;66.5151000;0
USDCB;D;20150926;000000;65.6727000;65.6727000;65.6727000;65.6727000;0
USDCB;D;20150929;000000;65.5470000;65.5470000;65.5470000;65.5470000;0
USDCB;D;20150930;000000;66.2367000;66.2367000;66.2367000;66.2367000;0
USDCB;D;20151001;000000;65.7364000;65.7364000;65.7364000;65.7364000;0
USDCB;D;20151002;000000;65.0336000;65.0336000;65.0336000;65.0336000;0
USDCB;D;20151003;000000;65.9414000;65.9414000;65.9414000;65.9414000;0
USDCB;D;20151006;000000;65.6248000;65.6248000;65.6248000;65.6248000;0
USDCB;D;20151007;000000;65.0962000;65.0962000;65.0962000;65.0962000;0
USDCB;D;20151008;000000;62.7061000;62.7061000;62.7061000;62.7061000;0
USDCB;D;20151009;000000;62.2942000;62.2942000;62.2942000;62.2942000;0
USDCB;D;20151010;000000;61.2967000;61.2967000;61.2967000;61.2967000;0
USDCB;D;20151013;000000;61.1535000;61.1535000;61.1535000;61.1535000;0
USDCB;D;20151014;000000;62.2237000;62.2237000;62.2237000;62.2237000;0
USDCB;D;20151015;000000;63.1248000;63.1248000;63.1248000;63.1248000;0
USDCB;D;20151016;000000;62.2433000;62.2433000;62.2433000;62.2433000;0
USDCB;D;20151017;000000;61.3587000;61.3587000;61.3587000;61.3587000;0
USDCB;D;20151020;000000;61.4419000;61.4419000;61.4419000;61.4419000;0
USDCB;D;20151021;000000;62.1620000;62.1620000;62.1620000;62.1620000;0
USDCB;D;20151022;000000;62.6309000;62.6309000;62.6309000;62.6309000;0
USDCB;D;20151023;000000;62.7888000;62.7888000;62.7888000;62.7888000;0
USDCB;D;20151024;000000;61.9286000;61.9286000;61.9286000;61.9286000;0
USDCB;D;20151027;000000;62.5038000;62.5038000;62.5038000;62.5038000;0
USDCB;D;20151028;000000;63.5004000;63.5004000;63.5004000;63.5004000;0
USDCB;D;20151029;000000;65.3159000;65.3159000;65.3159000;65.3159000;0
USDCB;D;20151030;000000;64.1686000;64.1686000;64.1686000;64.1686000;0
USDCB;D;20151031;000000;64.3742000;64.3742000;64.3742000;64.3742000;0
USDCB;D;20151103;000000;63.7993000;63.7993000;63.7993000;63.7993000;0
USDCB;D;20151104;000000;63.8525000;63.8525000;63.8525000;63.8525000;0
USDCB;D;20151106;000000;63.3991000;63.3991000;63.3991000;63.3991000;0
USDCB;D;20151107;000000;63.6832000;63.6832000;63.6832000;63.6832000;0
USDCB;D;20151110;000000;64.6606000;64.6606000;64.6606000;64.6606000;0
USDCB;D;20151111;000000;64.3908000;64.3908000;64.3908000;64.3908000;0
USDCB;D;20151112;000000;64.5693000;64.5693000;64.5693000;64.5693000;0
USDCB;D;20151113;000000;65.4541000;65.4541000;65.4541000;65.4541000;0
USDCB;D;20151114;000000;66.6343000;66.6343000;66.6343000;66.6343000;0
USDCB;D;20151117;000000;66.4607000;66.4607000;66.4607000;66.4607000;0
USDCB;D;20151118;000000;65.4799000;65.4799000;65.4799000;65.4799000;0
USDCB;D;20151119;000000;64.7785000;64.7785000;64.7785000;64.7785000;0
USDCB;D;20151120;000000;64.9120000;64.9120000;64.9120000;64.9120000;0
USDCB;D;20151121;000000;64.8673000;64.8673000;64.8673000;64.8673000;0
USDCB;D;20151124;000000;65.5973000;65.5973000;65.5973000;65.5973000;0
USDCB;D;20151125;000000;65.6210000;65.6210000;65.6210000;65.6210000;0
USDCB;D;20151126;000000;65.4789000;65.4789000;65.4789000;65.4789000;0
USDCB;D;20151127;000000;65.6836000;65.6836000;65.6836000;65.6836000;0
USDCB;D;20151128;000000;66.2393000;66.2393000;66.2393000;66.2393000;0
USDCB;D;20151201;000000;66.7370000;66.7370000;66.7370000;66.7370000;0
USDCB;D;20151202;000000;66.2584000;66.2584000;66.2584000;66.2584000;0
USDCB;D;20151203;000000;66.7402000;66.7402000;66.7402000;66.7402000;0
USDCB;D;20151204;000000;67.7691000;67.7691000;67.7691000;67.7691000;0
USDCB;D;20151205;000000;67.6698000;67.6698000;67.6698000;67.6698000;0
USDCB;D;20151208;000000;68.5156000;68.5156000;68.5156000;68.5156000;0
USDCB;D;20151209;000000;69.3026000;69.3026000;69.3026000;69.3026000;0
USDCB;D;20151210;000000;69.2000000;69.2000000;69.2000000;69.2000000;0
USDCB;D;20151211;000000;69.2151000;69.2151000;69.2151000;69.2151000;0
USDCB;D;20151212;000000;69.1755000;69.1755000;69.1755000;69.1755000;0
USDCB;D;20151215;000000;70.2244000;70.2244000;70.2244000;70.2244000;0
USDCB;D;20151216;000000;70.8295000;70.8295000;70.8295000;70.8295000;0
USDCB;D;20151217;000000;70.4012000;70.4012000;70.4012000;70.4012000;0
